feature,support,importance
cat__recommended_product_id_0,True,0.23041254000893516
cat__ind_nomina_ult1_0.0,True,0.0479357015088485
cat__ind_nom_pens_ult1_0.0,True,0.04778402040093337
cat__ind_cno_fin_ult1_0,True,0.045506709306054785
cat__ind_nomina_ult1_1.0,True,0.04491150487228394
cat__age_interval_66-163,True,0.04009460631142659
cat__ind_cco_fin_ult1_1,True,0.03674279905524297
cat__ind_nom_pens_ult1_1.0,True,0.03650522996502005
cat__ind_cno_fin_ult1_1,True,0.03452590499438685
num__NATURAL_LOGARITHM(antiguedad),True,0.034471852151611776
num__SQUARE_ROOT(antiguedad),True,0.03417013533251372
num__antiguedad,True,0.031500978338806176
cat__recommended_product_id_ind_nom_pens_ult1,True,0.028961657937162127
cat__tiprel_1mes_I,True,0.02590608789189101
cat__ind_cco_fin_ult1_0,True,0.024448726213371193
cat__ind_recibo_ult1_0,True,0.02404803269920794
num__antiguedad * renta,True,0.02165141415701986
num__renta / antiguedad,True,0.019535960520995082
num__antiguedad / renta,True,0.018883656506611095
num__renta_antiguedad_ratio,True,0.018615539608500247
cat__recommended_product_id_ind_cco_fin_ult1,True,0.017424893924995105
num__antiguedad + renta,True,0.01564059134949309
num__renta_vs_country_mean,True,0.013333009744091623
num__NATURAL_LOGARITHM(renta),True,0.012933580274550625
num__SQUARE_ROOT(renta),True,0.012482373999423072
num__renta,True,0.012377798282553578
num__log_renta,True,0.011841927722105381
cat__ind_ecue_fin_ult1_0,True,0.007473954795733891
cat__ind_ecue_fin_ult1_1,True,0.006868717368916218
cat__age_interval_35-40,True,0.005126717252693497
cat__canal_entrada_KFC,True,0.004707523515614429
cat__cod_prov_28.0,True,0.003729693244423958
cat__canal_entrada_other,True,0.003721434635805949
cat__sexo_V,True,0.003585837082948876
cat__canal_entrada_KAT,True,0.003566014369136112
cat__age_interval_41-44,True,0.003483427002944754
cat__sexo_H,True,0.003181276557333699
cat__age_interval_48-51,True,0.0026665774839591777
cat__age_interval_45-47,True,0.0025479771228777027
cat__indrel_1mes_1.0,True,0.0024414898666663388
cat__cod_prov_other,True,0.0022171413679144734
cat__indrel_1mes_1,True,0.0020349852549959627
